osm_id,name,operator,highway_type,highway_name,highway_ref,lat,lon
105616977,Nijjarpura,,trunk,GT Road;Sher Shah Suri Marg,NH3,31.5775376,74.9972082
206291071,Vashi Toll Plaza,,motorway,Sion-Panvel Highway,SPH,19.0641486,72.9804748
245628525,Sonampetty,,trunk,NH16,NH16,14.6937783,79.9788645
245654830,Old Mumbai Pune Highway,,trunk,Old Mumbai Pune Highway,NH48,18.9473,73.17881
245691184,Malkapur Buldana Road,,trunk,Malkapur Buldana Road,NH753A,20.8261109,76.2024922
245761383,SH25,,primary,SH25,SH25,27.7138212,76.7428575
247682273,Coimbatore - Tiruchirapalli Nedunchalai,,trunk,Coimbatore - Tiruchirapalli Nedunchalai,NH81,10.9772341,77.3477471
247684881,Coimbatore - Trichy Road,,trunk,Coimbatore - Trichy Road,NH81,10.931767,78.2183712
251691429,Acharya Shri Tulsi Marg,,trunk,Acharya Shri Tulsi Marg,NH148A,28.4810988,77.1168157
256215709,Nemili,,trunk,NH48,NH48,12.9818087,79.9692083
271335645,Acharya Shri Tulsi Marg,,trunk,Acharya Shri Tulsi Marg,NH148A,28.4808717,77.1167308
273278187,Commercial Vehicle Lane (For Toll Tax),,secondary,Commercial Vehicle Lane (For Toll Tax),,28.5110979,77.092571
273467502,SHN14,,primary,SHN14,SHN14,12.9011047,80.2228806
274498021,Expressway Toll,,motorway,Delhi-Gurugram Expressway,NH48,28.3954313,76.9820455
278166417,Delhi-Gurugram Expressway,,motorway,Delhi-Gurugram Expressway,NH48,28.3957384,76.9816985
283091489,Coimbatore Bypass,L&T,trunk,Coimbatore Bypass,NH544,11.0608481,77.0889462
283092400,Vijayamangalam Toll,IVRCL,trunk,NH544,NH544,11.2455055,77.5197126
283103460,NH544,,trunk,NH544,NH544,11.5132055,77.9239993
283138803,NH48,,trunk,NH48,NH48,18.760229,73.439718
283404954,Old NH 47,,primary,Old NH 47,,9.9314296,76.267618
292650399,Daffi,,trunk,Varanasi Bypass Expressway,NH19,25.2483405,82.9939698
292650672,Daffi,,trunk,Varanasi Bypass Expressway,NH19,25.248212,82.9940473
293825996,,,service,,,21.0886552,79.058495
308449884,Coimbatore Bypass,,trunk,Coimbatore Bypass,NH544,11.0128186,77.0731953
308453172,Coimbatore Bypass,L&T,trunk,Coimbatore Bypass,NH544,10.9211659,76.9892688
308453173,Coimbatore Bypass,L&T,trunk,Coimbatore Bypass,NH544,11.004946,77.0691114
308871928,Kalaingar Karunanidhi Salai,,primary,Kalaingar Karunanidhi Salai,SHN14,12.9007112,80.2316218
310620872,Damla toll plaza,,primary,Radaur Road,SH6,30.0806023,77.2098581
312726323,NH547E,,trunk,NH547E,NH547E,21.1929905,78.8960359
313028025,Chennai Bypass Expressway,,trunk,Chennai Bypass Expressway,,13.0435948,80.1498022
313271644,Attibele (BETL),,trunk,Hosur Road,NH44,12.7767003,77.77696
313272280,Krishnagiri,,trunk,NH44,NH44,12.5446531,78.2013265
313298454,NH48,,trunk,NH48,NH48,12.6485215,78.5834662
313299436,NH48,,trunk,NH48,NH48,12.9056421,78.9517233
313692601,NH44,,trunk,NH44,NH44,11.7199739,78.0733431
315068916,Madurai Ring Road,,trunk,Madurai Ring Road,MRR,9.8248363,78.0897434
315731888,Amoli Toll Plaza,,trunk,Agra Jaipur Bikaner Road,NH21,27.101285,77.0909115
315731954,Ludhewai Toll Plaza,,trunk,Agra Jaipur Bikaner Road,NH21,27.178445,77.4168352
315733005,Lane 4,,trunk,Lane 4,NH21,26.9444691,76.5575489
315832517,,,motorway,,,18.9660292,73.1614006
315832599,,,motorway_link,,,18.965984,73.1613066
315999110,DND Toll booth,,motorway,DND Flyway,,28.5762293,77.3038877
316741276,Jaipur Kishangarh Expressway,,trunk,Jaipur Kishangarh Expressway,NH48,26.8432672,75.6155529
316792152,SH87,,primary,SH87,SH87,22.3533236,73.2368882
316920256,NH48,,trunk,NH48,NH48,22.4532112,73.0707365
320660408,Ahmadabad Vadodara Expressway,,motorway,Ahmadabad Vadodara Expressway,NE1,22.4137943,73.149321
320660477,Ahmadabad Vadodara Expressway,,motorway,Ahmadabad Vadodara Expressway,NE1,22.4136459,73.149186
335878361,GNC Tollgate,,primary,,,13.6728944,79.3512012
335885681,Chennai Tirupati Highway,,trunk,Chennai Tirupati Highway,NH716,13.1507273,79.8346974
338666200,Chennai Bypass Expressway,,trunk,Chennai Bypass Expressway,,13.0435201,80.149453
342119953,Toll Naka,Dahisar Toll Naka,trunk,Western Express Highway,NH48,19.2569911,72.8712932
342120304,Toll Boooth,,,,,17.92282,73.7869299
343368023,NH753F,,trunk,NH753F,NH753F,19.201451,74.7843153
343368353,NH753F,,trunk,NH753F,NH753F,19.5555657,74.9821267
343371732,Chakan Shikrapur Road,,trunk,Chakan Shikrapur Road,NH548D,18.6943703,74.1234451
345576365,,,motorway_link,,,28.5438433,77.1154114
349126518,NH48,,trunk,NH48,NH48,20.4350326,72.9170693
349129219,NH48,,trunk,NH48,NH48,19.8903996,72.9425968
349131075,Mumbai Delhi Highway,,trunk,Mumbai Delhi Highway,NH48,19.4968984,72.9142391
